title,synopsis,type_,episodes,rating
Lacrosse Shoujo Kataoka Ririn-san wa Totemo Moteru,,Manga,-,-
Ladies versus Butlers!,"Hino Akiharu lost his parents when he was small and was adopted into his uncle's family. But he noticed his uncle is after the inheritance of his parents, so he decides to enter a boarding school, Hak...",Light Novel,13,-
R.I.P.,"Transylvania Rose is a bored angel who descends to Earth to clean a few souls. When she witnesses a depressed undertaker slitting his wrists, Rose rips off one of her wings and gives it to the underta...",Manga,1,7.15
R.O.D Rehabilitation,The new manga is a side story that is much darker than the Read or Die stories that came before it. It is set in a world where the death of books has been declared after the last printing press shuts...,Manga,1,-
R.O.D: Read or Die,"Yomiko Readman's love for literature goes far beyond any run-of-the-mill bookworm's! In fact, she has a supernatural ability to manipulate paper in the most amazing ways. From turning a tiny scrap int...",Manga,4,7.07
R.O.D: Read or Dream,"Michelle is a romantic daydreamer and hardcore book collector. Maggie is a soft-spoken bookworm who always gets mistaken for a boy. Anita is a tomboy who doesn't have time for reading. Together, they'...",Manga,4,7.42
"R.O.D: Yomiko Readman ""The Paper""","Odaiba, Tokyo, a skyscraper devoid of human life. Woo had come from Hong Kong, bringing with him a rare book entitled ""The Black Book of Fairy Tales."" His counterpart was a blond Englishman. However,...",Light Novel,-,-
R18!,Recently graduated Suzumura Rikako was still jobless when her older sister insisted that she apply to the company that she was working for. It sounds really great except for the part where that compan...,Manga,6,-
R402,"""R"" or rather Room 402 is the room where our illustrious female main character lives. One day which seems to be by mere coincidence her fate intertwines with that of Sasamoto, a savvy man who seems to...",Manga,3,4.76
Ra-i,"Al Foster is a private detective whose workaday life suddenly shakes up with the arrival of 13-year-old Rai Spencer, youngest son of the billionaire Spencer family, genius child prodigy, and unrepenta...",Manga,1,6.72
Rabbit Foot,A one-shot about a treasure hunter from the sky who recruits a passerby to help her look for a treasured doll located in the world below. (Source: Japanzai),One-shot,-,-
Rabi Papa,A 4-koma about a humanoid rabbit salaryman's daily life shared with his human wife and their hybrid rabbit-child.,Manga,-,-
Ladies versus Butlers!,"Hino Akiharu lost his parents when he was an elementary student and was taken in by his uncle's family. One day, he sees on the news about the newly-established Hakureiryou Gakuin, a school which was...",Manga,-,6.81
Lady & Oldman,"The story takes place in 1963 Los Angeles. A pair known as ""Lady and Oldman"" wander from street to street for delivery missions on their motorcycle and sidecar, sometimes getting caught in cases and s...",Manga,-,-
Lady Annica no Nazo,"Annica, of royal descent, is an unusual woman by the standards of London society. Independent and liberated, she doesn't humble herself before any man. Tristan likes her the moment he sees her, and co...",Manga,2,-
Lady Cat: Ochita Kedakaki Oujo,,Light Novel,1,-
Lady Cool,,Manga,-,-
Lady Detective,Lizzie is a noble lady of England in Industrial Revolution era. She is very lady-like on surface but is quite famous for her creative writing as a new rising author. Although she doesn't acknowledge h...,Manhwa,6,7.46
Lady Jewelpet,"Momona is an ordinary junior-high school student hailing from Jewel Land. At her cousin's wedding, she envies the bride, Lady Diana, due to the fact that she is marrying the cousin who she had a sligh...",Manga,-,-
Lady Justice,"Marufuji Enta has a crush on Kenzaki Ameri and as they visit the same class for the first time the best day of his life starts! Ironically, he gets kidnapped until a mysterious hooded girl appears in...",Manga,2,5.91
Lady Lady,"Inspector Reiko Kujou is a problematic detective who gave up the big-city police work to be transferred to the Akasaka Police Department. She's got the face and figure of a model, a keen mind, and on...",Manga,2,-
