title,synopsis,type_,episodes,rating
Queen of Circus no Neko,,Manga,-,-
Queen Ring: Joou Heika no Kyuujitsu,,Light Novel,1,-
Queen's Blade Rebellion: Kedakaki Chikai,"Power corrupts, and it when it appears that the once noble Queen Claudette's ways have turned to oppression and heretical persecution, it's up to a new generation of warriors to step up to the plate a...",Light Novel,1,-
Queen's Blade Rebellion: Seiran no Hime Kishi,The series' protagonist Annelotte is seeking the head of reigning Queen Claudette for revenge and justice. Following her swift defeat and imprisonment Annelotte is now building a rebellion army to tak...,Manga,2,-
Queen's Blade Rebellion: Zero,"Power corrupts, and it when it appears that the once noble Queen Claudette's ways have turned to oppression and heretical persecution, it's up to a new generation of warriors to step up to the plate a...",Manga,3,-
Queen's Blade: Hide & Seek,"In the tradition, it is only the strongest woman that can rule this kingdom. The battle that decides the strongest woman is done once every four years. This battle is called ""Queen's Blade"".",Manga,5,6.85
Queen's Blade: Rurou no Senshi,"In the tradition, it is only the strongest women that can rule this kingdom. The battle that decides the strongest woman done once every four years. This battle is called Queen's Blade. (Source: MU)",Manga,3,6.14
Queen's Quality,"Fumi Nishioka is an apprentice ""Sweeper,"" a person who cleanses negative emotions from human hearts, who works together with fellow Sweeper Kyuutarou Horikita and his family. Before meeting them, she...",Manga,-,8.00
Queen♡Slave,Sadou Reika and Oono Mikado have a particular relationship that involves one being dominant and the other being submissive. Reika has this big plan for their one year anniversary of dating; she wants...,One-shot,-,6.92
R,A collection of experimental short stories.,Manga,1,-
La Esperança,"In a European school dorm, Georges Saphir is admired and loved by everyone. However, afraid of others doing him harm, he has never allowed anyone to get close. Why is it then that misfit Robert can ef...",Manga,7,7.22
La La La,"Kirishima Shirou (age 24) was suddenly downsized from work and his girlfriend dumped him. When he was complaining to his friend at a bar, a mysterious, beautiful, big breasted woman named Ishimura Ai...",Manga,-,-
La La La Hallelujah!,,Manga,2,6.83
La Mosca,"Kashoo, the incredibly popular confectionery and coffee company, produces the most addicting products. However, there is a mystery behind how the company obtains its raw materials. What lurks on the i...",Manhwa,7,7.06
La Nobetsu Makunashi,,Light Novel,3,-
La paix Corpo no Yuuutsu,1-6. La paix Corpo no Yuuutsu 7-10. Inakata Gosaku no Yuuutsu,Manga,1,-
La Partita,"A young businessman loves his nephew, a high school musician.",Manga,1,6.70
La Pomme Prisonnière,1-20. Hita-Hita 21-22. La Pomme Prisonnière,Manga,1,6.49
La Quinta Camera,"In a small city in Italy there is a cheap room for rent, great for foreign students, only if they can deal with the four middle aged men already living there. La Quinta Camera is a series of short sli...",Manga,1,7.28
La Satanica,"""My fingers are sweet."" Mashita suddenly said that. After hearing this, Matsushima is affected. He doesn’t intend to confess even though he is holding an unrequited love for Mashita. Can Matsushima st...",Manga,1,7.50
La Satanica dj - Fluffy Thing,Can't get enough of Matsushima and Mashita? A little peek into our boys during year one and what turns Mashita on...? (Source: Attractive Fascinante),Doujinshi,1,7.34
Queens,"Pil-Hyun Jung is a pretty boy whose teddy bear making hobby drives his father insane. With his psycho dad constantly threatening to chop off his manly bits, Pil-Hyun is determined to put his feminine...",Manhwa,5,7.32
Queens Breaker: Kichikuou no Joou Seifuku Harem,,Light Novel,1,-
Queens Game,1. Transformation Girl 2. Fugou no Ojou-sama 3-4. Tsugou no Ii Kanojo 5. Madoi Ran no Ijou na Aijou 6. Ticket to Lead 7. Natsu no Bus Tei (Summertime Bus Stop) 8-9. Itadaki! Seito Shidou (Receiving! G...,Manga,1,-
R Shitei,Volume 1 1-4. R Shitei 1-4 5. Natsu no Patricia 6. Shishunki no Mori-kun 7. Kagami no Kuni Arisu 8. Neverland 9. Mebae Volume 2 1-4. R Shitei 5-8 5-10. Kurihiroi Series,Manga,2,-
R-15,"Akutagawa Takuto is a teenage porn novel writer. He enters Hirameki Gakuen, which accepts only geniuses with outstanding talent. He leads his classmates with his porn skills to win the interclass comp...",Light Novel,11,-
R-15,"Akutagawa Taketo is a teenage porn novel writer. He enters Hirameki Gakuen, which accepts only geniuses with outstanding talent. He leads his classmates with his porn skills to win the interclass comp...",Manga,4,-
R-16,,Manga,12,-
R-18,1. Akogare... (Longing) 2. Kizuna (Bonds) 3. Change! 4. Kyoudai (Siblings) 5. Osanai Koukishin (Childhood Curiosity) 6. Tawamure no Daishou (Price of Fun) 7. Thrill 8. Mitsuyaku (Secret Pact) 9. Sono...,Manga,1,-
R-18 Love Report!,Riko Mitsumi is sixteen year-old girl who is pretty and a good student. She would be like most girls if she wasn't constantly dreaming about sex and using a pseudonym to write about it. (Source: M-U),Manga,4,6.88
R-Chuugakusei,R-Chuugakusei talks about three teenager's daily and sexual life.,Manga,3,-
R-Tekikaku,,One-shot,-,-
R.A,,Manga,-,-
R.E.I.N.A,"Takeshi Takasaka always makes time to visit his ""girlfriend,"" even though she is nothing more than a fictional character within a virtual reality game. While immersed in his VR, Takeshi gets an unexpe...",Doujinshi,1,7.37
R.G.B!,,Manga,-,-
La Suite D'amour Du Chat Noir,"Have you heard of the world where a witch and her black cat live happily together? It's a paradise where nothing bad happens and no one gets sad. But then, the witch dies and the cat is left alone. So...",Manga,1,6.83
La Vie en Bouzu,,Manga,1,-
La Vie en Doll,"Haruno Kasumi, a 14-year-old girl, is quiet and shy girl who gets bullied at school and has a crush on a classmate. Her mother has no interest in what happens at home and her dad disappeared years ago...",Manga,4,6.77
La Vie en Rose,1. Renai Shousetsuka 2. Koukishin wa Neko wo Korosu 3. Shuumatsu no Chikai Shuumatsu 4. La Vie en Rose 5. Baby Blue 6. Sayonara Baby 7. Baby Blue After,Manga,1,6.73
La vie en rose,"The everyday life of Aoi, a successful manga, and her husband Kai, a busy salaryman.",Manga,2,-
La Vie en Rose,"Sequel to Rouge, where Nagato is now the head of Yashima after Yamato graduated and became the head of the Bidou Group.",Manga,-,-
La☆Blue Girl,"The story involves various ninja clans who continually fight each other. The female protagonist is Miko Mido, a young ninja-in-training and the next leader of the Miroku ninja clan. This clan has cont...",Manga,6,6.44
Labian Extase,"Haruka is an unlucky high schooler, but one day she was able to receive happiness. She is going to get married with her fated husband, Masayoshi. He had been married once before, but he is serious and...",Manga,2,-
Labradorescence,"Shunji Fujishiro, a photographer, wakes up one morning in a hospital bed, where he was transported after losing consciousness during a fall on a staircase. He is immediately surprised and irritated by...",Manga,1,7.41
